seed,omega,adaptive,step,k_before,k_after,train_pre,heldout_pre,born,requests,denied,best_gain,coefficient_l1_previous_window,rhs,basis,coefficient_updates_before
7,0.3,1,800,18,19,0.0143015,0.0801790,39,10,0,1.0868287e-6,2.2006682757682938e-1,819200,33587200,8991
7,0.3,1,840,19,20,0.0136659,0.0849834,40,11,0,1.0861645e-6,1.7076839900647656e-1,860160,35266560,9751
7,0.3,1,880,20,21,0.0133876,0.0858196,32,12,0,7.0130466e-7,1.1835097790704197e-1,901120,36945920,10551
7,0.3,1,920,21,22,0.0129289,0.0872100,25,13,0,3.0259508e-7,1.7442599633318423e-1,942080,38625280,11391
7,0.3,1,960,22,23,0.0126155,0.0873051,34,14,0,3.8893728e-7,1.8518617414537175e-1,983040,40304640,12271
7,0.3,1,1000,23,24,0.0121724,0.0899675,23,15,0,1.9130363e-7,1.887739885754769e-1,1024000,41984000,13191
7,0.3,1,1040,24,25,0.0119323,0.0927099,19,16,0,1.6403747e-7,1.9617833215550284e-1,1064960,43663360,14151
7,0.3,1,1080,25,25,0.0116549,0.0933551,-1,17,1,1.6178662e-7,3.8349300406057907e-1,1105920,45342720,15151
7,0.3,1,1120,25,25,0.0114340,0.0938247,-1,18,2,7.003964e-8,8.695222497188837e-2,1146880,47022080,16151
7,0.3,1,1160,25,25,0.0112862,0.0938815,-1,19,3,5.2690215e-8,6.0861464804073506e-2,1187840,48701440,17151
7,0.3,1,1200,25,25,0.0111845,0.0937119,-1,20,4,4.4805397e-8,5.4273632616993694e-2,1228800,50380800,18151
19,0.0,0,40,9,9,0.0052350,0.0142495,-1,0,0,5.4670345e-6,2.6763420544202177e-1,40960,1679360,351
19,0.0,0,80,9,9,0.0037632,0.0107702,-1,0,0,1.9411796e-6,6.448899319201473e-2,81920,3358720,711
19,0.0,0,120,9,9,0.0026674,0.0077969,-1,0,0,8.9149376e-7,4.811279275236302e-2,122880,5038080,1071
19,0.0,0,160,9,9,0.0017981,0.0053181,-1,0,0,4.0443095e-7,3.944538126233965e-2,163840,6717440,1431
19,0.0,0,200,9,9,0.0011600,0.0034597,-1,0,0,1.6645185e-7,2.9504705911676865e-2,204800,8396800,1791
19,0.0,0,240,9,9,0.0007179,0.0021536,-1,0,0,6.321858e-8,2.073849370026437e-2,245760,10076160,2151
19,0.0,0,280,9,9,0.0004261,0.0012831,-1,0,0,2.2144413e-8,1.3821317540532618e-2,286720,11755520,2511
19,0.0,0,320,9,9,0.0002422,0.0007313,-1,0,0,7.1298336e-9,8.764738823629159e-3,327680,13434880,2871
19,0.0,0,360,9,9,0.0001317,0.0003981,-1,0,0,2.1031414e-9,5.291713074711879e-3,368640,15114240,3231
19,0.0,0,400,9,9,0.0000683,0.0002067,-1,0,0,5.65469e-10,3.0397926520890906e-3,409600,16793600,3591
19,0.0,0,440,9,9,0.0000338,0.0001023,-1,0,0,1.384236e-10,1.6598927491031645e-3,450560,18472960,3951
19,0.0,0,480,9,9,0.0000159,0.0000481,-1,0,0,3.052404e-11,8.601092333719862e-4,491520,20152320,4311
19,0.0,0,520,9,9,0.0000071,0.0000215,-1,0,0,6.1402593e-12,4.2267154506703264e-4,532480,21831680,4671
19,0.0,0,560,9,9,0.0000030,0.0000092,-1,0,0,1.0982555e-12,1.9660173441593543e-4,573440,23511040,5031
19,0.0,0,600,9,9,0.0000012,0.0000037,-1,0,0,1.827239e-13,8.643286546217155e-5,614400,25190400,5391
19,0.0,0,640,9,9,0.0000005,0.0000015,-1,0,0,2.5085103e-14,3.583457894684727e-5,655360,26869760,5751
19,0.0,0,680,9,9,0.0000003,0.0000008,-1,0,0,9.564868e-15,1.3930135775885866e-5,696320,28549120,6111
19,0.0,0,720,9,9,0.0000003,0.0000006,-1,0,0,6.0452983e-15,5.562394746111421e-6,737280,30228480,6471
19,0.0,0,760,9,9,0.0000003,0.0000005,-1,0,0,5.1893355e-15,2.6599657105934316e-6,778240,31907840,6831
19,0.0,0,800,9,9,0.0000003,0.0000005,-1,0,0,4.7125415e-15,1.6439348199260694e-6,819200,33587200,7191
19,0.0,0,840,9,9,0.0000003,0.0000005,-1,0,0,5.2684463e-15,2.034186573005893e-6,860160,35266560,7551
