seed,rich,fresh,omega,adaptive,window,k_before,k_after,incoming_rms,train_after,eval_before,eval_after,requests,denied,repeated_cross_window
19,0,1,0.3,0,2,9,9,3.513987507806089e-2,2.851133979673507e-2,4.455295849622042e-2,4.8478501057133e-2,0,0,0
19,0,1,0.3,1,0,9,25,4.037959834280312e-2,6.743757314617695e-3,5.790735577115379e-2,9.009822144108476e-2,20,4,0
19,0,1,0.3,1,1,25,25,5.918749676920628e-2,1.2435437150292983e-2,9.009822144108476e-2,7.34848486973264e-2,30,30,1
19,0,1,0.3,1,2,25,25,6.673553129388399e-2,8.310294631722566e-3,7.34848486973264e-2,8.231311148854073e-2,30,30,29
19,1,0,0.0,0,0,9,9,3.6502432612400756e-2,2.744979184278421e-2,4.0727518332652576e-2,4.5834768246990315e-2,0,0,0
19,1,0,0.0,0,1,9,9,2.744979184278421e-2,2.7449784720121773e-2,4.5834768246990315e-2,4.583481110769433e-2,0,0,0
19,1,0,0.0,0,2,9,9,2.7449784720121773e-2,2.745151062072752e-2,4.583481110769433e-2,4.578064393850759e-2,0,0,0
19,1,0,0.0,1,0,9,12,3.6502432612400756e-2,1.9986798694336696e-6,4.0727518332652576e-2,4.192837400141487e-6,3,0,0
19,1,0,0.0,1,1,12,22,1.9986798694336696e-6,1.5404782111737283e-3,4.192837400141487e-6,3.2227822173831982e-3,10,0,0
19,1,0,0.0,1,2,22,25,1.5404782111737283e-3,1.5617321567527458e-5,3.2227822173831982e-3,1.953849371394432e-4,4,1,0
19,1,0,0.3,0,0,9,9,4.691828169493922e-2,3.410904222502948e-2,5.936889435365805e-2,7.834932397487421e-2,0,0,0
19,1,0,0.3,0,1,9,9,3.410904222502948e-2,3.410904491590292e-2,7.834932397487421e-2,7.83495473310575e-2,0,0,0
19,1,0,0.3,0,2,9,9,3.410904491590292e-2,3.4109038585018396e-2,7.83495473310575e-2,7.834928975093058e-2,0,0,0
19,1,0,0.3,1,0,9,25,4.691828169493922e-2,6.914666428337891e-3,5.936889435365805e-2,8.164878302200762e-2,20,4,0
