seed,rich,fresh,omega,window,step,candidate,accepted,prior_candidate_requests,prior_site_requests,repeated_earlier_window,k_before,x,y,sigma,coverage,local_residual_mse,g,h,score
7,0,1,0.3,1,1560,35,0,2,3,1,25,6e-1,6e-1,9e-2,1e0,8.833310083240145e-5,-3.0306255e-4,1.074971e0,4.2720647e-8
7,0,1,0.3,1,1600,35,0,3,4,1,25,6e-1,6e-1,9e-2,1e0,8.872996947221756e-5,-3.2711288e-4,1.0815251e0,4.9468493e-8
7,0,1,0.3,1,1640,35,0,4,5,1,25,6e-1,6e-1,9e-2,1e0,8.922769007019268e-5,-3.4716062e-4,1.0876094e0,5.5406147e-8
7,0,1,0.3,1,1680,35,0,5,6,1,25,6e-1,6e-1,9e-2,1e0,8.979033197798528e-5,-3.6402972e-4,1.0931752e0,6.061135e-8
7,0,1,0.3,1,1720,35,0,6,7,1,25,6e-1,6e-1,9e-2,1e0,9.038973248033507e-5,-3.784829e-4,1.0982143e0,6.521919e-8
7,0,1,0.3,1,1760,35,0,7,8,1,25,6e-1,6e-1,9e-2,1e0,9.100773562513754e-5,-3.9081433e-4,1.1027398e0,6.925289e-8
7,0,1,0.3,1,1800,35,0,8,9,1,25,6e-1,6e-1,9e-2,1e0,9.162728854614032e-5,-4.0127104e-4,1.1067805e0,7.274181e-8
7,0,1,0.3,1,1840,35,0,9,10,1,25,6e-1,6e-1,9e-2,1e0,9.22413297566142e-5,-4.1020862e-4,1.1103721e0,7.57724e-8
7,0,1,0.3,1,1880,35,0,10,11,1,25,6e-1,6e-1,9e-2,1e0,9.283790505616852e-5,-4.1774273e-4,1.1135541e0,7.835676e-8
7,0,1,0.3,1,1920,35,0,11,12,1,25,6e-1,6e-1,9e-2,1e0,9.341454015294491e-5,-4.2430373e-4,1.1163633e0,8.063399e-8
7,0,1,0.3,1,1960,35,0,12,13,1,25,6e-1,6e-1,9e-2,1e0,9.396652998402833e-5,-4.2957556e-4,1.1188415e0,8.246707e-8
7,0,1,0.3,1,2000,35,0,13,14,1,25,6e-1,6e-1,9e-2,1e0,9.449112409927556e-5,-4.3430255e-4,1.1210252e0,8.412777e-8
7,0,1,0.3,1,2040,35,0,14,15,1,25,6e-1,6e-1,9e-2,1e0,9.498542085740014e-5,-4.38046e-4,1.1229485e0,8.5437705e-8
7,0,1,0.3,1,2080,35,0,15,16,1,25,6e-1,6e-1,9e-2,1e0,9.545008244168167e-5,-4.410205e-4,1.1246432e0,8.647146e-8
7,0,1,0.3,1,2120,35,0,16,17,1,25,6e-1,6e-1,9e-2,1e0,9.588429259290386e-5,-4.4373277e-4,1.1261364e0,8.742225e-8
7,0,1,0.3,1,2160,35,0,17,18,1,25,6e-1,6e-1,9e-2,1e0,9.628820255615377e-5,-4.4591748e-4,1.1274515e0,8.818224e-8
7,0,1,0.3,1,2200,35,0,18,19,1,25,6e-1,6e-1,9e-2,1e0,9.666368642160804e-5,-4.47692e-4,1.1286125e0,8.879404e-8
7,0,1,0.3,1,2240,35,0,19,20,1,25,6e-1,6e-1,9e-2,1e0,9.70091799651692e-5,-4.4921186e-4,1.1296407e0,8.9316586e-8
7,0,1,0.3,1,2280,35,0,20,21,1,25,6e-1,6e-1,9e-2,1e0,9.732723024965585e-5,-4.5046673e-4,1.1305481e0,8.97442e-8
7,0,1,0.3,1,2320,35,0,21,22,1,25,6e-1,6e-1,9e-2,1e0,9.761912337013255e-5,-4.5154124e-4,1.1313554e0,9.010851e-8
7,0,1,0.3,1,2360,35,0,22,23,1,25,6e-1,6e-1,9e-2,1e0,9.788687477154767e-5,-4.523257e-4,1.1320728e0,9.036457e-8
7,0,1,0.3,1,2400,35,0,23,24,1,25,6e-1,6e-1,9e-2,1e0,9.813000592681362e-5,-4.5305412e-4,1.1327109e0,9.060477e-8
7,0,1,0.3,2,2440,17,0,0,1,0,25,2e-1,6e-1,1.4e-1,1e0,3.3268435698107277e-4,-1.3241874e-2,6.045856e0,1.4501439e-5
7,0,1,0.3,2,2480,9,0,6,7,1,25,2e-1,2e-1,1.4e-1,1e0,2.620907287487482e-3,-8.811137e-4,5.652402e-1,6.867535e-7
7,0,1,0.3,2,2520,13,0,0,0,0,25,2e-1,4e-1,1.4e-1,8.788578e-1,7.915031647114829e-4,5.670922e-4,2.4710056e-1,6.507342e-7
7,0,1,0.3,2,2560,13,0,1,1,0,25,2e-1,4e-1,1.4e-1,8.788578e-1,7.756687396239028e-4,5.607007e-4,2.0159085e-1,7.797608e-7
7,0,1,0.3,2,2600,13,0,2,2,0,25,2e-1,4e-1,1.4e-1,8.788578e-1,7.70493820542905e-4,5.6652335e-4,1.8545128e-1,8.653181e-7
7,0,1,0.3,2,2640,13,0,3,3,0,25,2e-1,4e-1,1.4e-1,8.788578e-1,7.708813608983779e-4,5.708779e-4,1.79767e-1,9.0645557e-7
7,0,1,0.3,2,2680,13,0,4,4,0,25,2e-1,4e-1,1.4e-1,8.788578e-1,7.735250338250931e-4,5.6158716e-4,1.7767845e-1,8.875025e-7
