seed,rich,role,window,index,steps,x,y,target_x,target_y
7,1,train,1,5,24,4.1805115e-1,7.6047766e-1,4.4555295e-1,7.177873e-1
7,1,train,1,6,8,5.271059e-1,4.7844818e-1,5.4805475e-1,5.0776494e-1
7,1,train,1,7,24,5.271059e-1,4.7844818e-1,5.73697e-1,5.5519265e-1
7,1,train,1,8,8,8.08231e-1,6.584691e-1,7.928918e-1,6.429617e-1
7,1,train,1,9,24,8.08231e-1,6.584691e-1,7.479674e-1,6.127443e-1
7,1,train,1,10,8,1.7044465e-1,6.2050945e-1,1.7860939e-1,6.0924745e-1
7,1,train,1,11,24,1.7044465e-1,6.2050945e-1,1.9491473e-1,5.895948e-1
7,1,train,1,12,8,5.994941e-1,5.3045166e-1,5.9620875e-1,5.5139136e-1
7,1,train,1,13,24,5.994941e-1,5.3045166e-1,5.9139866e-1,5.748742e-1
7,1,train,1,14,8,5.7197046e-1,6.409631e-1,5.762817e-1,6.1982006e-1
7,1,train,1,15,24,5.7197046e-1,6.409631e-1,5.82337e-1,5.990037e-1
7,1,train,1,16,8,7.888137e-1,7.403648e-1,7.758972e-1,7.257803e-1
7,1,train,1,17,24,7.888137e-1,7.403648e-1,7.3864365e-1,6.890383e-1
7,1,train,1,18,8,4.1343737e-1,7.475575e-1,4.227785e-1,7.3407364e-1
7,1,train,1,19,24,4.1343737e-1,7.475575e-1,4.4366404e-1,7.0446473e-1
7,1,train,1,20,8,3.514967e-1,5.0221086e-1,3.491414e-1,5.2458936e-1
7,1,train,1,21,24,3.514967e-1,5.0221086e-1,3.5231072e-1,5.550453e-1
7,1,train,1,22,8,1.9172439e-1,7.821429e-1,1.992276e-1,7.7136034e-1
7,1,train,1,23,24,1.9172439e-1,7.821429e-1,2.1601541e-1,7.4737895e-1
7,1,train,1,24,8,7.257638e-1,2.7616686e-1,7.175214e-1,2.8675926e-1
7,1,train,1,25,24,7.257638e-1,2.7616686e-1,7.013018e-1,3.0804402e-1
7,1,train,1,26,8,6.143609e-1,3.0330646e-1,6.125098e-1,3.1221992e-1
7,1,train,1,27,24,6.143609e-1,3.0330646e-1,6.1060935e-1,3.302146e-1
7,1,train,1,28,8,7.370498e-1,4.0862003e-1,7.266379e-1,4.1760617e-1
7,1,train,1,29,24,7.370498e-1,4.0862003e-1,7.0350504e-1,4.3795532e-1
7,1,train,1,30,8,1.6094552e-1,5.0197995e-1,1.6750668e-1,5.034623e-1
7,1,train,1,31,24,1.6094552e-1,5.0197995e-1,1.798281e-1,5.0646794e-1
7,1,train,2,0,8,5.2611876e-1,3.1310838e-1,5.3949255e-1,3.1456313e-1
7,1,train,2,1,24,5.2611876e-1,3.1310838e-1,5.602369e-1,3.2230064e-1
7,1,train,2,2,8,4.4319668e-1,5.822872e-1,4.6557873e-1,5.8804536e-1
7,1,train,2,3,24,4.4319668e-1,5.822872e-1,5.178285e-1,5.927747e-1
7,1,train,2,4,8,4.3887895e-1,5.240931e-1,4.6058202e-1,5.4686743e-1
7,1,train,2,5,24,4.3887895e-1,5.240931e-1,5.134803e-1,5.7437116e-1
